punto_cruce;latitud;longitud
Virrey Cevallos y Chile;-34.61671905065429; -58.38907871020574
Azopardo y Mexico;-34.614450337952476; -58.36769104712261
Rincon y Carlos Calvo;-34.620467390769335; -58.39583538919027
Virrey Liniers y C.Calvo;-34.62315753886828; -58.4138318891903
Billinghurst y Peron;-34.606748200473575; -58.41628538919073
Del Libertador y Montevideo;-34.58745282273859; -58.383924918027155
Corredor Norte y Casares;-34.574312762779016; -58.40789353734271
EEUU y 33 Orientales;-34.623134352422085; -58.42351191994867
F. Alcorta y Derecho;-34.58329253594031; -58.39246667511387
Montevideo y Peron;-34.6066056816707; -58.38932152552083
Cnel. Diaz y Mansilla;-34.59226460172331; -58.41293791065123
Arenales y Montevideo;-34.595017817582146; -58.390034677861046
Potosi y Rawson;-34.607218190470164; -58.426173976081785
J. Alvarez y Padilla;-34.60298680742381; -58.43979537156252
Chile y Tacuari;-34.616150993601934; -58.3787755164374
Serrano y Loyola;-34.593430384183975; -58.43781336623242
Gorriti y G. Cruz;-34.587453916508316; -58.43394676711245
11 de Sep y Monroe;-34.554912400851165; -58.454340559067106
M.T. Alvear y Uriburu;-34.59678175586919; -58.39886857384895
La Pampa y Superi;-34.57047952215784; -58.464133216178695